Comparateur de territoires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
© Insee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
Population en 2022;449509;473973;671;2509;3344;1506;7840;4177;6777;36708;10095;22471;7353;156389;1388;3925;6447;3410;1883;10846;1154;18790;450;93;347;866;527;1117;2321;2120;519;926;424;17930;2691;38022;5957;2212;788;250;11579;1004;11784;8087;8314;1379;4018;836;1392;8557;7316
Densité de la population (nombre d'habitants au km²) en 2022;824;672,3;241,4;258,7;374,9;227,8;325;642,6;1281,1;4670,2;2243,3;3334;1061;8626;179,6;296;1004,2;620;66,1;1936,8;76,3;1525,2;46,6;17,5;177;142,7;110;246,6;137,7;828,1;25,5;51,2;35;1648;184,1;4106;592,1;112,3;112,1;32,2;869,9;46,8;1106,5;1010,9;398,2;115,9;202,3;192,6;114;302,4;696,1
Superficie en 2022, en km²;545,5;705;2,8;9,7;8,9;6,6;24,1;6,5;5,3;7,9;4,5;6,7;6,9;18,1;7,7;13,3;6,4;5,5;28,5;5,6;15,1;12,3;9,7;5,3;2;6,1;4,8;4,5;16,9;2,6;20,4;18,1;12,1;10,9;14,6;9,3;10,1;19,7;7;7,8;13,3;21,5;10,7;8;20,9;11,9;19,9;4,3;12,2;28,3;10,5
Variation de la population : taux annuel moyen entre 2016 et 2022, en %;0,2;1,1;-0,3;-0,3;1,7;3,4;-0,4;0,7;0,1;0,4;-0,5;0;1,8;-0,2;0,3;0,8;-0,5;3,8;0,8;0,2;0,6;1,6;1,1;2,5;-0,1;-0,5;0,9;-0,7;0,6;-0,7;0,5;0,5;-0,6;2;3,9;-0,3;0,6;0,2;0,6;4,6;0,3;-0,6;-0,3;1,6;0,1;1,4;1,3;2,5;-0,6;0,4;-0,3
dont variation due au solde naturel : taux annuel moyen entre 2016 et 2022, en %;0,4;0,5;-0,3;0;0,2;0,2;0,2;-0,7;0,2;0,6;0,5;0,4;0,7;0,6;0,4;0,3;0,1;-0,1;0,2;0,5;0,9;0,1;0,7;1,6;0,3;0,2;0,8;0;-0,1;0,1;0,5;0,6;0,3;0,4;0;0,5;0,4;0,4;-0,2;1,1;0,2;0,6;0,4;0;0,5;0,2;0,5;0,2;0,5;0,2;-0,3
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2016 et 2022, en %;-0,2;0,6;0;-0,3;1,5;3,1;-0,6;1,4;-0,1;-0,2;-0,9;-0,4;1,1;-0,8;-0,1;0,5;-0,7;3,9;0,5;-0,3;-0,3;1,5;0,4;1;-0,4;-0,7;0,2;-0,7;0,7;-0,7;0;-0,1;-0,8;1,6;3,9;-0,8;0,2;-0,2;0,8;3,5;0,1;-1,1;-0,7;1,6;-0,4;1,2;0,7;2,3;-1;0,1;0,1
Nombre de ménages en 2022;214781;228443;295;1031;1480;600;3449;1768;3145;16221;4630;10783;3707;83825;592;1667;2906;1490;791;4741;451;8950;173;45;148;358;202;483;940;935;214;377;173;8066;1029;17331;2612;910;310;100;5092;416;5639;3415;2878;559;1792;337;589;3685;3452
Sources : Insee, RP2016 et RP2022 exploitations principales en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naissances domiciliées en 2024;4695;4995;3;14;39;8;62;32;62;499;146;209;59;1795;12;34;53;44;16;130;13;156;4;0;1;9;4;9;20;18;2;11;8;194;23;381;73;18;10;2;88;5;120;61;65;16;28;4;21;56;58
Décès domiciliés en 2024;3511;3089;4;21;27;3;53;47;67;342;99;201;46;1088;10;24;77;51;13;99;8;178;1;0;4;3;2;5;29;14;1;5;3;145;33;223;45;15;7;1;94;7;111;66;35;4;25;7;13;72;83
Avertissement : Contrairement aux autres données de cette page, le niveau France contient les données de Mayotte.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source : Insee, état civil en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Logement;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
Nombre total de logements en 2022;244849;250684;319;1107;1580;643;3654;1946;3368;17625;4994;11820;4074;101686;657;1821;3425;1619;1009;5155;597;9843;190;49;154;375;222;514;1026;993;272;424;235;8636;1103;18720;2907;926;341;118;5527;590;6136;3603;3112;661;2115;361;650;3953;3993
Part des résidences principales en 2022, en %;87,7;91,1;92,6;93,1;93,6;93,3;94,4;90,8;93,4;92;92,7;91,2;91;82,4;90,1;91,5;84,8;92;78,4;92;75,5;90,9;90,9;91,8;95,8;95,6;90,7;93,9;91,6;94,1;78,9;89,1;73,6;93,4;93,3;92,6;89,9;98,3;91,1;84,7;92,1;70,5;91,9;94,8;92,5;84,7;84,7;93,4;90,6;93,2;86,4
Part des résidences secondaires (y compris les logements occasionnels) en 2022, en %;2,9;3,3;2,6;1,6;1,2;1,7;1,7;2,4;1,3;1,4;1,2;0,8;2,7;4,3;1,9;1,3;3,3;1,3;5,4;0,7;14,6;3,3;7,5;4,1;1,4;1,1;3,1;1,4;2;0,6;10,9;4,7;12,8;1,2;1,6;1,3;1,5;1;2,7;13,5;2,4;15,6;1,3;1,3;1,4;10,1;4,8;2,2;2;1,5;1,5
Part des logements vacants en 2022, en %;9,4;5,5;4,8;5,2;5,1;5;3,9;6,8;5,3;6,6;6;8;6,3;13,3;8;7,1;11,8;6,7;16,2;7,3;9,9;5,7;1,6;4,1;2,8;3,3;6,2;4,7;6,4;5,3;10,2;6,2;13,6;5,4;5,1;6,1;8,6;0,8;6,3;1,8;5,5;13,9;6,8;3,9;6,1;5,2;10,5;4,4;7,4;5,3;12,1
Part des ménages propriétaires de leur résidence principale en 2022, en %;50,1;47,2;82,4;86,7;76,5;85,3;75,7;75,7;59;44,8;60,6;55,2;45;36,4;81,9;71,7;49,5;65,8;83,1;51,9;76,8;61,1;77;86,7;94;77,8;87,5;89,7;79,5;70,9;87,4;84,8;91,3;60,1;84,6;42,2;50,4;89,5;89;80,2;70;88;64,3;73,9;65,8;83,6;74,5;85,5;72,8;69,7;53
Source : Insee, RP2022 exploitation principale en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Revenus;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
Nombre de ménages fiscaux en 2021;192079;198948;295;996;1434;530;3336;1636;3008;14718;4571;10263;3139;71309;583;1603;2524;1399;786;4370;418;8521;154;s;147;322;197;476;936;913;207;359;169;7502;976;13676;2346;901;303;87;4991;413;5529;3291;2839;481;1706;321;588;3493;3281
Part des ménages fiscaux imposés en 2021, en %;57,4;57,2;s;76;60;s;71;77;58;46;63;48;62;54;s;71;68;70;s;46;s;70;s;s;s;s;s;s;70;71;s;s;s;63;73;49;58;78;s;s;64;s;61;71;66;s;71;s;s;65;51
Médiane du revenu disponible par unité de consommation en 2021, en euros;23940;24500;34920;32620;24940;31460;29740;37560;24200;19930;25120;20790;26010;22140;32700;28430;30000;27990;26220;20220;31410;30440;27470;s;29550;28880;26970;26290;26880;28010;27350;31990;26140;25910;27370;21160;24020;30530;26760;30770;25750;24000;24820;29300;26780;28710;29360;32850;27510;26090;22530
Taux de pauvreté en 2021, en %;15;13,9;s;s;s;s;5;s;9;24;11;19;10;21;s;6;9;s;s;21;s;7;s;s;s;s;s;s;s;s;s;s;s;10;s;19;15;s;s;s;8;s;10;6;6;s;s;s;s;6;12
Avertissement : Pour des raisons de secret statistique (s) ou de valeur manquante (vm), certains indicateurs peuvent ne pas être renseignés. À cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emploi - Chômage au sens du recensement;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
Emploi total (salarié et non salarié) au lieu de travail en 2022;228239;276667;548;465;1060;281;1761;1127;2223;17297;7070;6816;3305;100370;130;1634;10026;1780;188;5730;146;11533;56;1;19;94;44;63;754;327;42;115;15;8892;242;17557;2726;173;49;46;5186;46;4666;2270;4230;125;395;50;2426;1837;2303
dont part de l'emploi salarié au lieu de travail en 2022, en %;88,9;90,3;89,5;70,8;89,7;80,7;79,9;85,8;85,6;92,1;91,8;86,3;89,8;87,6;57,4;92;95,8;91;55,1;93,1;66,8;87,7;75,6;0;42,1;62,3;55,2;59,8;85,7;71,4;57,3;54;73,3;91,2;75,8;91,4;90,1;67,7;65,4;68,2;90,5;67,4;89,5;85,5;93,3;60,9;60;67,8;94;80,2;85,2
Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2016 et 2022, en %;0,7;2,1;-0,2;2,4;0,3;7,7;-1,7;-2,1;-0,5;0,3;-0,6;0,9;2,9;0,8;-4,7;0,7;1,2;-1,1;2,7;0,5;3,1;-0,5;-1,6;-10,9;4,5;-0,2;7,5;4,8;3;-1,3;7,2;8,8;-15,5;0,7;1,6;1,1;8,8;-0,1;6;-1,5;1,4;-10,3;1,5;0,1;0;-1,4;1,7;-1,5;1,7;0,2;-1
Taux d'activité des 15 à 64 ans en 2022;73,2;72,5;77,5;79,8;77,6;81,4;77;79,4;79,6;71,8;77,3;76,9;72,8;70,7;78,5;76,6;68,9;79,9;80,7;76,9;82,3;76,3;81,1;91,1;82,5;78,1;79,1;79,2;80,2;74,7;75,4;86,1;78,3;78,1;80;63,6;76;78,3;80,6;83,6;77,9;78;79,7;77,4;79,6;80,8;80,9;80,9;77,4;77,8;74,9
Taux de chômage des 15 à 64 ans en 2022;11,2;11;7,2;4,9;7,3;5,6;7,2;5,3;7,3;16,6;9,4;12,6;9,6;13,5;7,8;7,7;7,8;6,1;6,6;12,5;4,8;7,6;4,4;7,3;2,6;5;4,4;2,8;5,6;5,5;4,4;3,8;6,5;8,9;6,6;13,2;11,2;3;5,8;6,8;7;5;8,6;7,4;5,5;4,2;4;3;9,5;5,7;12
Sources : Insee, RP2016 et RP2022 exploitations principales en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Établissements;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
Nombre d'établissements fin 2023;15238;17259;35;63;74;31;251;96;227;1138;462;601;241;6535;27;66;212;136;28;268;35;838;15;1;1;14;12;14;84;55;6;12;2;549;40;1005;193;33;8;11;310;10;401;266;173;27;74;11;124;198;225
Part de l'agriculture, sylviculture et pêche, en %;0,3;1,4;0;0;0;0;1,2;0;0;0,2;0;0;0,4;0,1;11,1;0;0,5;1,5;7,1;0;2,9;0,2;0;0;0;14,3;8,3;0;3,6;0;0;0;0;0,2;0;0,2;1;6,1;0;0;0;0;0;0;1,7;14,8;2,7;9,1;0;0;0
Part de l'industrie, en %;6,2;4,6;2,9;6,3;20,3;16,1;15,5;2,1;13,7;4,8;7,6;10,1;7,9;3,9;3,7;12,1;4,2;11;3,6;10,8;2,9;5;6,7;0;0;7,1;0;7,1;15,5;1,8;0;0;0;8,9;7,5;5,9;9,8;9,1;0;0;14,2;0;7,2;8,6;8,1;3,7;4,1;9,1;18,5;5,6;8,4
Part de la construction, en %;10,6;7,9;11,4;17,5;17,6;22,6;23,9;6,3;21,6;13,1;14,1;18,3;9,1;6,2;29,6;13,6;3,3;5,9;14,3;18,7;8,6;5,4;33,3;0;0;14,3;41,7;21,4;11,9;29,1;16,7;25;0;9,8;17,5;15,3;15;36,4;37,5;9,1;15,5;10;8;17,7;16,2;14,8;21,6;18,2;12,1;25,3;12
Part du commerce, transports et services divers, en %;70,4;74,5;77,1;65,1;54,1;54,8;51,4;74;54,6;70,3;65,4;58,9;68;77;44,4;57,6;75,5;72,8;53,6;56,3;65,7;76,3;46,7;0;0;50;33,3;50;59,5;54,5;50;41,7;0;71,4;57,5;63;61,1;42,4;37,5;81,8;59,7;70;75,3;65,4;64,2;48,1;63,5;36,4;65,3;56,6;64
Part de l'administration publique, enseignement, santé et action sociale, en %;12,6;11,7;8,6;11,1;8,1;6,5;8;17,7;10,1;11,6;13;12,6;14,5;12,8;11,1;16,7;16,5;8,8;21,4;14,2;20;13,1;13,3;100;100;14,3;16,7;21,4;9,5;14,5;33,3;33,3;100;9,7;17,5;15,6;13;6,1;25;9,1;10,6;20;9,5;8,3;9,8;18,5;8,1;27,3;4;12,6;15,6
Part des établissements de 1 à 9 salariés, en %;69,3;66,4;65,7;82,5;68,9;77,4;75,3;83,3;70;63,7;66,7;67,2;68,9;70,9;74,1;75,8;70,8;61;82,1;69,8;77,1;68;80;100;100;64,3;83,3;78,6;63,1;74,5;100;58,3;100;65,2;75;64,6;65,3;81,8;87,5;100;65,2;100;65,6;71,1;74,6;85,2;90,5;81,8;59,7;72,7;75,1
Part des établissements de 10 salariés ou plus, en %;21,2;24,8;31,4;11,1;18,9;19,4;15,5;10,4;22;28,6;25,1;22,1;24,1;18,4;7,4;16,7;20,8;32,4;10,7;22,4;8,6;23;6,7;0;0;21,4;0;7,1;26,2;16,4;0;33,3;0;26,4;10;26,3;29;6,1;12,5;0;24,2;0;27,2;21,8;16,8;7,4;4,1;9,1;34,7;19,2;15,1
Champ : établissements employeurs durant l'année et actifs la dernière semaine de décembre hors secteur de la défense et hors particuliers employeurs. Les effectifs salariés correspondent ici aux postes présents durant la dernière semaine de décembre.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source : Insee, Flores (Fichier localisé des rémunérations et de l'emploi salarié) en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;